status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
Not Verified ,,Solo Leisure,Economy Class,Los Angeles to Frankfurt via Budapest,Aug-22,1,1,1,,,1,1,no,1,"  Flew from LAX to Budapest via Frankfurt on 8/26, The Frankfurt flight number was LH1340. Our boarding in Frankfurt was delayed with an hour, then we had to wait another 1.5 hours on the plane because of refueling and waiting for the baggage to be loaded. After a total of 2.5 hours of wait we finally took off. Came to find out at the baggage claim in Budapest that they never loaded luggage on the plane. The local agent said that Lufthansa called them hours earlier that no checked-in luggage will be on this flight, and that they already informed the passengers, which of course never happened. They lost 2 baggage of mine. I immediately filed a report online, but now after 24 hours there's still no significant update. The local handling agent, doesn't pick up the phone. This experience will ruin this long awaited vacation. Lufthansa is terrible, stay away them if possible."
✅ Trip Verified ,,Business,Business Class,Frankfurt to Singapore,Aug-22,1,1,1,1,1,1,1,no,1,  Extremely disorganized and terrible experience. They lost my luggage for over 48 hours and local luggage tracking number would not answer the phone while global customer luggage tracking service had no idea whether my bag was in Germany and Singapore. I had no clothing for my business trip and the only “compensation” they could provide a toiletries bag.
✅ Trip Verified ,,Business,Economy Class,Frankfurt to Berlin,Aug-22,1,3,1,,2,2,2,no,3,  The flights were delayed and overbooked. Our seats were changed at boarding without notice so I was separated from my family. The voucher which was supposed compensation for earlier rebooking did not work.
Not Verified ,,Couple Leisure,Economy Class,Los angeles to Budapest via Frankfurt,Aug-22,1,1,1,1,,1,1,no,1,"  Last night we arrived to Budapest via LH1340 and found out that our luggage are missing. We have been status of our baggage and still showing nothing. The flight was supposed to leave Frankfurt yesterday 4:15 and was delayed and departed 6:33pm, while waiting they kept on telling us the delay is due to runway delay, then our baggage are being loaded, etc. We have been to Europe a couple of times, this is the first time we used Lufthansa , and definitely this will be the last. Worst experience ever, staff are rude. Flight from lax to Frankfurt is 11hrs something and they served us small very sour pasta with a couple of cold breads, then on breakfast just 1 weird tasting sandwich. 2nd day, still no status on our luggage, they are answering phone and replying to our email."
✅ Trip Verified ,A350,Family Leisure,Economy Class,Chicago to Munich ,Aug-22,1,1,1,1,1,1,2,no,1,"  On my outbound flight the aircraft A350 (pretty new) had half the toilets working. The food is a bare minimum with a vegetarian' lasagna as the only choice (hardly any veggies) and a small coffee cake with a fruit for breakfast. The inbound flight had pasta with ketchup as the only choice served with shredded old and dry lettuce and the pre-arrival meal was a sandwich consisting of two pieces of dry dark cred with one slice of Swiss cheese and some shredded carrots. The wi-fi to purchase was not available and the aircraft an old A340-300 was very dirty. The crew distributed food and disappeared for the rest of the flight. The entertainment choices were pretty much the same as two years ago, The constant delays due to lack of ground staff are a nightmare. "
Not Verified ,,Couple Leisure,Business Class,Amman to Frankfurt,Aug-22,1,1,1,,,2,1,no,1,"  I booked two business seats for my wife and I and paid a similar price to what you would pay for other good airlines only to go through the worst experience ever. Seats were economy seats with the one in the middles blocked, my seat did not recline and this was a night flight where you would want to have a sleep. No welcome drink, no towels, rude staff unwilling to offer you anything, my wife asked for a glass of water 30 minutes before landing but was told she can't have one, tried to sleep on the back row of seats only to be awaken by the hostess claiming these are reserved for crew! Lousy breakfast, no ear heads, no music, no screen. Lufthansa should be ashamed."
✅ Trip Verified ,,Solo Leisure,Economy Class,Tampa to Billund via Frankfurt,Aug-22,1,1,1,3,1,1,1,no,1,"  Lufthansa has lost its reputation as a real major airline and has entered the category of budget airlines like RyanAir. I was really disgusted on my last flight. It was booked on lufthansa.com, though the gate was Eurowings Discover and the first plain was Finnair. On a transatlantic flight, the flight attendants were charging people to have a blanket.  I refused the blanket on principal and was freezing cold and slept one hour the whole flight. I ordered a Gluten Free meal when I booked my flight and when the meal came, it was solid gluten and not a single item served was something I can normally eat (pasta, bread, cracker, cheese, potato salad). I told the attendant that I had ordered a gluten-free meal and she said that their airline does not serve gluten-free meals and that Lufthansa had just booked me on a partner airline. She said that all that was left on the flight was the gluten-heavy ""vegetarian"" meals (which is worse than even a regular meal). When the airplane landed and we had to wait a long time to taxi to our gate (making us almost late for our next flight) the stewardess would not let me use the restroom while we waited. And she was rude about it. "
✅ Trip Verified ,,Solo Leisure,Economy Class,Singapore to Frankfurt,Jul-22,1,3,1,2,3,1,1,no,2,"  I would never describe Lufthansa as a top rated airline, especially when you’ve tried some Asian airlines such as Singapore. I agree with reviews that the aircraft are clean but very uncomfortable. My flight in July reached a new level. The food provided by this airline was in own category of indescribable mess. In this day and age it should not be difficult to prepare a sandwich which does not make you ill. The staff were actually quite pleasant but did not bother much with water through the night which is usually served on other airlines. I take the flight Sydney to Frankfurt almost every year at least once a year but have not flown with Lufthansa for many years as other Asian airlines are far superior. Explore Singapore Air, Emirates or Qatar."
✅ Trip Verified ,A340,Solo Leisure,Economy Class,Wroclaw to Denver via Frankfurt,Aug-22,2,3,1,1,2,3,2,no,3,  Lufthansa was a huge disappointment. I started flying with Lufthansa from the US to Europe in 2015. Their quality of service decreased drastically. There's no choice of food. Planes are dirty. No free spirits are available anymore. Food portions are laughable. It's just not worth the price. I flew with KLM to Europe at the beginning of the month and the service was superb compared to Lufthansa. It was my last time I has flown with them. After 7 years my journey with Lufthansa comes to an bitter end.
✅ Trip Verified ,A330-300,Family Leisure,Premium Economy,Atlanta to Zurich via Frankfurt,Aug-22,2,1,1,1,1,1,1,no,1,"  Terrible information flow, had to check flightracker to know that my flight was rerouted. Food was bad and drinks were only handed out twice during the flight.  Absolutely terrible."
✅ Trip Verified ,,Family Leisure,Economy Class,Barcelona to Kilimanjaro via Frankfurt,Aug-22,1,3,3,3,,1,1,no,1,"  This is the third and last time I fly Lufthansa. This time they have lost our 3 suitcases! I am in Tanzania with my 2 daughters. We are doing a safari without the suitcases. We landed on Saturday and they ""say"" they will be here on Tuesday. We have medicines inside, apart from all the safari equipment. Nobody from the company has contacted although we filled the formal report. The guide has tried to take us to a mall where we have only found toiletries and panties. It has ruined our safari after saving to be able to take my daughters on an expensive flight."
Not Verified ,,Solo Leisure,Economy Class,Munich to Washington ,Aug-22,1,1,,,,1,1,no,1,"  I travelled with Lufthansa twice in less than 2 months. Both times I have never gotten my baggage by the time I reached my destination. They delayed my baggage causing me a lot of inconvenience. The second time I travelled with them I thought I would be giving them another shot, but soon I realized that I made a mistake. Never repeating this mistake. I will never fly with Lufthansa again. I had the worst experience."
✅ Trip Verified ,,Family Leisure,Economy Class,London to Munich,Jul-22,1,1,,,,1,1,no,1,"  Lufthansa lost our luggage and could care less. They kept saying it will be delivered to our hotel in France and that day never came. Went the whole 16 days without any luggage for myself, husband and toddler. They have horrible customer service and no empathy. It’s been almost 2 months and still no update on where our luggage is and they haven’t refunded us for anything. We have spent $10,700 for the flights and clothes/toiletries we had to buy while we were there. Our lost luggage totaled at least $7,400. Don’t take Lufthansa at all costs, they should be shut down."
✅ Trip Verified ,,Solo Leisure,Economy Class,Dublin to Beirut via Frankfurt,Aug-22,1,2,1,1,1,1,1,no,2,"  Nothing in my customer journey was a positive experience on today's flight. First they send an email for customers to come to the airport at 2:30am, the staff don't show up till 3:15 am Cabin crew from the first flight was extremely rude. She was aggressive when I was trying to ask a small question regarding my connecting flight and walked away. Food and beverage was shocking, 2 flights 7 hours of flying I was offered 2 small pieces of chocolate, and 1 tiny sandwich - it was more like dry bread with a dice of vegetable. It was shocking no option to even buy anything. And since the flight was delayed there was no time to get anything in Frankfurt Airport. To add to all this the airline lost my bag! Lufthansa is now by far the worst airline I have flown."
✅ Trip Verified ,A320neo,Business,Economy Class,London to Munich,Aug-22,2,4,,,,3,3,yes,6,"  Friendly staff at check-in who confirmed my seat as being 10D only to find that I was moved to 10C when someone else was sitting in 10D with a boarding pass, oh well other than confusing no issue there. Flight left a few minutes late as they had to take on extra fuel to avoid a 1hour delay so I was happy about that and it was clearly communicated. Seat being right in front of the emergency exit meant that it had no recline and actually seems more upright than the normal seats, so will try to avoid them in future. Boarding was a free for all with a long line and no logic to it. Crew friendly but nothing special. They get you there along with your bags but so do most discount carriers."
✅ Trip Verified ,A320neo,Business,Economy Class,Munich to London,Aug-22,4,4,,,,4,3,yes,7,"  Comfortable flight which departed on time and arrived in LHR a little bit early. Overall nothing to complain about for a 1.5 hour flight. This is also the first time that I have flown them since they stopped serving food or drinks, other a free bottle of water. Since you have to pay for most things I would not consider LH a full service airline any more. That said crew were friendly and kept us updated during the flight and the luggage also arrived."
Not Verified ,,Family Leisure,Economy Class,Katowice to Boston via Frankfurt,Jul-22,2,4,3,3,,3,4,no,3,"  This is not Lufthansa anymore. You should change the name because you bring shame to the company I know. I have been a Lufthansa customer for over 30 years. Mainly I fly from the USA to Europe and around Europe. However, the last trip was a nightmare. I had booked a return flight to the USA from Katowice Via Frankfurt to Boston. I made the reservation 6 months before departure. 8 days before departure, I received an email informing me that my scheduled flight LH1363 from Katowice to Frankurt was canceled, no reason was given, and no alternative flight was offered either. I called Lufthansa USA asking what options could be offered to us, I got a reply with no alternative options for us! I checked the connection from Krakow to Frankfurt on a regular Lufthansa website and guess what? There was a flight from Krakow to Frankfurt LH 1371 on the same day and time as my canceled flight from Katowice. I called Lufthansa USA again with a request to change the canceled flight from Katowice to the one from Krakow. A sleepy lady (probably from India because she spoke English poorly) stated that there is no such flight! And he can offer us a flight from Katowice To Berlin from Berlin to Munich and from Munich to Frankfurt. Of course, I interrupted the conversation because my patience was exhausted. On the Lufthansa website I have easily booked a flight from Krakow to Frankfurt LH1371 (July 22.2022). Of course I had to pay for this flight separately as no one at Lufhansa wanted to help us and rebook for this flight. Let me add here that the distance between Katowice and Krakow airports is less than 63 miles. And for the best now, Lufhansa is refusing to reimburse the full costs of the flight they have canceled. From the amount I paid $ 1135, they returned $ 86.90 so far! After 30 years of traveling with Lufthansa, it's time to say goodbye to them. "
✅ Trip Verified ,,Family Leisure,Economy Class,Montreal to  via Munich,Jul-22,4,5,3,5,5,5,5,yes,9,"  On June 18, 2022, I had a problem with my trip as I did the reservation on Expedia, and I did not know until I was at the airport in Montreal, Canada. I asked about the Manager, and I was very angry and disappointed. Then, I met with Mrs. Sana Zubair the team leader in Lufthansa. She was really a very different person and she could calm me down first. She told me that she will do her best to make me travel today. She tried for over half an hour without feeling tired and with a welcoming smile on her face. Then in the middle of her call, she told me that I will travel today on my flight, then she continued to complete her phone call to do all the required steps. She took my two bags to weigh them and asked if I can pay for the second page. I paid and then she gave me all the boarding passes for my 2 trips. I would like to thank her for her patience and time. She told me from the beginning that, she would never ever start by telling any traveler that he will not travel today unless she tried her best in every case. I asked her for her full name as I really would like to thank this smart, hard-working woman. Thank you again and please Lufthansa take my feedback seriously as she made me love to travel with you again after I decided to be my last trip with you. She deserves to be in management and critical position. She is not the same type of employee that you meet every day. She knows how to deal with tired unsleeping disappointed travelers like me. Many thanks again to her and to Lufthansa."
✅ Trip Verified ,,Couple Leisure,Economy Class,Frankfurt to Boston ,Aug-22,2,5,3,,1,2,2,no,2,"  Horrible customer service. Will never use Lufthansa again. Travelled as a couple and paid upgrade for extra leg room. Not only did we not receive the appropriate leg room seats we paid for, but weren’t even seated together and didn’t refund our money."
✅ Trip Verified ,,Business,Business Class,Bristol to Dusseldorf via Frankfort,Aug-22,4,2,2,,,1,1,no,1,"  This last journey has been a nightmare, and I'm not home yet, my flights have been cancelled, delayed etc, and my luggage has disappeared with invaluable bits in there, including lots of essential medication. I queued up at the Lufthansa luggage place for over 30 minutes, missing my pre-paid for taxi, the guy was unable to print out the information. I was told my bag would be with me in the next day or two ... still nothing, and every time I ring up I get told something different, with no one following through. This was a business class seat, and they can't even get that correct. I have no way of checking my baggage status online, as I have not filled in whatever is mentioned, still preferring the help kiosk, phones etc rather than on line stuff. Updated on 13/8/22 I received my bags after 5 days. I wrote to customer relations to claim for some of the essential bits I had to buy for having had my case lost/delayed, but I have heard nothing back from them. "
✅ Trip Verified ,,Couple Leisure,Economy Class,Munich to Chicago,Aug-22,1,1,2,3,,1,1,no,1,  Munich to Chicago and it was a nightmare. Staff is not happy at all. Seats are small. I was in the middle and there is no room to move your legs.  When I booked this flight they said I would have seats by the exit which would give me more room. That did not happen. I think our seats were given to a couple that was affected by strike. We had issues with the plane in Munich and that made us miss our connecting flight to St.Louis. When we landed in Chicago everyone from Lufthansa was gone. They had us go to so many different terminals. And if anyone is familiar with Chicago airport that's miles away. I called Lufthansa customer service and they told me they couldn't help because it had be to be done at the airport.  I had to rent a car to finally get home and that cost me a fortune. They don't even want to reimburse me for that. 
✅ Trip Verified ,,Solo Leisure,Economy Class,Singapore to London via Frankfurt,Jul-22,1,1,1,1,1,1,1,no,1,"  Last week I traveled back from Singapore via Frankfurt to London Heathrow, Lufthansa had cancelled by Frankfurt Heathrow connection, 14 hours in A gates later, I was on a plane to LHR, but, my baggage was not. I have filled in the forms at LHR airside baggage services, done the Sita identification forms, called Lufthansa LHR service twice, sent three complaints via Lufthansa.com. Seven days later, nothing, the silence is deafening on this. "
Not Verified ,,Solo Leisure,Economy Class,Helsinki to Athens via Frankfurt,Jul-22,1,1,4,1,5,1,3,no,1,"  We had a flight from Finland to Frankfurt and the plane was delayed and we missed the next flight to Athens and we waited for hours at the Lufthansa service to get another ticket and they gave us the ticket without seats. There were no free seats, we waited for hours until we missed this flight and we waited again from the beginning to get another ticket and the same thing happened again until we found seats on a plane with a flight to Athens and we arrived 12-1 o'clock in the evening. "
✅ Trip Verified ,A330-300,Family Leisure,Business Class,Seattle to Frankfurt ,Aug-22,1,3,4,4,2,3,1,no,4,"  One way flight after US road trip from Seattle WA back to Germany Frankfurt in Business Class. Price was outrageous, around 6,700 EURO / person, so 21,000 EUR altogether. Service for that price was completely inadequate. Seating: I'm tall but not super tall (6 ft 5''). Did not fit while sleeping into the narrow seat on the A330-300 Business Class, thus couldn't sleep at all. Used to fly a lot between NYC and FRA on the 747-800 (Business Class). That is a completely different size of seat, so it feels like they are trying to fit more seats into Business Class by shrinking the comfort.  Not enough Meals: We were 3 persons on that flight, each person getting their menu at the beginning of the flight. Turns out, they couldn't serve us what we wanted as they did not have enough meals on board. Compare that against the ticket price of 6,700 EURO per person. Also cabin service overall was mediocre ... this is a 9 h 30 min flight and there was close to zero service between meals. You had to actively get up and ask for anything you wanted. Can understand if you try to minimize disturbing sleep of the passengers, but no service is not the answer to that. Lastly, I have gold status (Senator) at LH and was asking at check in if they could connect that flight with my miles account which they said they did ('Are you sure?' Yes!). Turns out, this is not the case. Other than that, check in was nice and helpful. So overall after that experience in combination with that premium price, I would say LH are on the way to serve the market with premium marketing and price, but mediocre performance. Will prevent flying with them again on long haul trips, especially if I see an A330-300 is servicing the trip."
Not Verified ,,Family Leisure,Economy Class,Santiago de Compostela to Chicago via Frankfurt,Aug-22,,,,,,4,3,no,2,"  Lufthansa provides really poor customer service. We had to cancel our flight because they denied our kitten from flying with our family. This was because there is a ""2 pet limit"" of pets that can travel in cabin. But why would they have such a tight limit for small pets that travel in a carrier under your seat? We had booked our flights 2 months in advance and there was no option to add a pet to our booking online. Customer service agents and supervisors were extremely unhelpful. This forced us to cancel and have to book a last minute flight with a different airline. We will try to completely avoid Lufthansa in the future."
✅ Trip Verified ,,Business,Business Class,Bristol to Dusseldorf via Frankfurt,Aug-22,4,3,2,,,1,1,no,1," I have been a gold card holder with Singapore Airlines (Kris Flyer) for around 20 years, and have used Lufthansa lots of times in the past. This last journey was a nightmare, and I'm not home yet, my flights have been cancelled, delayed etcetera, and my luggage has disappeared with invaluable bits in there, including lots of essential daily medication. I queued up at the Lufthansa luggage place for over 30 minutes, missing my pre-paid for taxi, the guy was unable to print out the information. I was told my bag would be with me in the next day or two, still nothing, and every time I ring up I get told something different, with no one following through. This was a business class seat, and they can't even get that correct. I have written to the CEO, and he does not even reply. This new CEO was previously in charge at Eurowings, which I have been led to believe, word of mouth, is not a good company to travel with. If he does not have the decency to reply, and Lufthansa from being a decent airline has become a shambles what does that say about his running of the company? I have no way of checking luggage updates online, as I have not filled in whatever is mentioned, still preferring the help kiosk, phones etcetera rather than online stuff, so what are the board of directors going to do to provide a decent service once again?"
Not Verified ,,Solo Leisure,Economy Class,Johannesburg to Vancouver via Frankfurt,Aug-22,1,,,,,1,1,no,1,"  Will never fly Lufthansa again. Worst experience. Flight booked for 2 August 2022. Booked in May 2022 already. Had the booking confirmation, flight details everything. Booking the ticket over the phone with Lufthansa in May was also a mission and a horrible experience. When we tried booking in online, the day of the flight, Lufthansa didn't know about the booking. After spending the whole day on the phone with Lufthansa, we missed our flight. Lufthansa said we didn't have a booking. We need to book another flight, costing much more. So we booked another flight for 2 August, the evening. We however didn't get the ticket confirmation in time, so missed the flight. Lufthansa just shrugged their shoulders. There is no accountability or care from their side! "
✅ Trip Verified ,,Solo Leisure,Business Class,London to Frankfurt,Jul-22,4,4,4,,,1,3,no,2,"  This entire flight was a disaster and Lufthansa's customer service dreadful. I originally booked in mid June to fly with Lufthansa to fly from LHR to LJU via FRA on Friday 8th July in Business Class. On 6th July they cancelled my flight from FRA to LJU. After many hours struggling with Lufthansa customer service and their useless chat-bot I finally managed to rearrange my flights for Saturday, arriving in Ljubljana at lunchtime. This meant I would miss part of the Congress itinerary, but the formal start wasn't until Monday. Then when I went to check in online on Friday my whole outward trip to LJU vanished! More hours on hold for LH customer services, including one memorable 2.5hr hold. Finally the managed to find flights for me on Saturday evening to Frankfurt arriving at 11pm and then onto Ljubljana at 9.00am the next day getting me at lunchtime. This meant that I would now miss two days. I got the flight at LHR, checking in two piece of hold baggage. I arrived at FRA and went to the hotel desk only to be told that the hotel I had been allocated was on the other side of Frankfurt. When I finally got there it turned out LH had sent lots of people there and the poor hotel staff were having difficulty checking so many people in near midnight. By the time I checked in it was midnight and the bar and the only food facility had closed. The next morning I returned to FRA to continue my flight. When I got on board I asked the flight attendant if she could check that my luggage had been loaded as there had been such a long delay between flights. She told me that the Load Master assured her it was. When I finally arrived in Ljubljana there was no sign of my luggage. I filled in the Property Irregularity Report and left for my hotel in Ljubljana. This was the Sunday and my luggage arrived on Wednesday evening at 11pm! During all this time LH's staff and useless lost luggage app were of no use at all. The level of service I received from Lufthansa was more akin to a two star airline."
✅ Trip Verified ,,Solo Leisure,Economy Class,Frankfurt to Washington,Jul-22,2,2,2,2,,1,1,no,1,"  Traveling to Berlin: I flew from Washington, DC to Berlin Germany and had a very horrible experience. Lufthansa had bad communication and customer service during my journey to and from Berlin. When flying to Berlin, my second flight from Munich, Germany to Berlin was cancelled. I was never informed by Lufthansa that my flight was cancelled. A friend that I was traveling with told me that my flight was cancelled. The interesting is that his flight was automatically rebooked and mines wasn’t. I had to call customer service and get them to rebook my flight. Traveling to Washington, DC My friend and I found out when we were checking into our flights that we couldn’t check in because our flight could potentially be canceled. We later found out that it was cancelled due to employees striking. Once again, when they officially cancelled my friend flight, he was rebooked automatically with another airline. Lufthansa never rebooked my flight or contacted me to tell me my flight was cancelled. After trying to contact them all day, I finally got through and was only able to get my flight rebooked for two days after I was suppose to leave. So, I had to pay for a hotel room and stay in Berlin for an additional two days that I didn’t plan too. When flying back my flight from Frankfurt to Washington was delayed due to staff shortages. Once I finally get home I later find out that I can not be compensated or reimbursed for my hotel or food for the extra two days that I had to stay in Berlin. Apparently, I’m the EU passenger rights, strikes are considered unfortunate circumstances and you can’t be reimbursed. This was the worth experience ever and I will never fly with Lufthansa again. They are horrible!"
Not Verified ,,Solo Leisure,Economy Class,Manchester to Frankfurt,Aug-22,1,1,,,,1,3,no,2," Manchester to Frankfurt. Lufthansa has rescheduled my flights twice only a few days before my flight. They offer you a refund if the times are inconvenient (at the original price). Finding a flight from another airline at this price would be impossible in August, which meant I had to take an expensive taxi (extra costs) to get me to the airport at dawn (inconvenience I made sure to avoid). Rude staff and unfriendly faces with a lack of flexibility. This is even worse for phone agents with incomprehensible accents, nonchalance and rudeness, not to mention the call gets cut a few minutes later, I've used Lufthansa twice already and never again! I'd rather use budget airlines."
✅ Trip Verified ,,Business,Economy Class,Munich to Venice,Jul-22,,,,,,,1,no,1,"  Lufthansa has the worst customer service. Our flight was cancelled due to issues with the ground crew in Munich going on strike. I was there for Buisness and needed to get to Italy that day. I stood in the customer service line for 2 hours waiting for them to tell me they could not rebook me that day or the following day, they were also not able to issue a refund. I have contacted Lufthansa and Air Dolomiti who apparently ran the airline I was flying on despite booking with lufthansa. Lufthansa passed the refund ability to Air Dolomiti and Air Dolomiti has passed the refund ability back to Lufthansa. Lufthansa has made it impossible to get a refund even though the cancellation was at not fault of mine and they were not able to rebook me. I had to take a train instead. "
✅ Trip Verified ,,Family Leisure,Economy Class,Seattle to Bangalore via Frankfurt,Jun-22,3,2,2,2,2,2,3,no,3,"  Very bad food. I requested Hindu NON-VEG but all the way to BLR I got potato in different form. Very outdated entertainment system and programs. Only USB charger available. Seats and pockets are filthy. I'll never use this this airline. Arrival at Frankfurt and connection is very chaotic, multiple bus rides and long lines to catch elevator to reach departure terminal, if you are connecting. Very rude  staff."
Not Verified ,Boeing 787,Business,Business Class,Vancouver to Frankfurt,Feb-22,4,5,4,3,5,1,1,no,3," Vancouver to Frankfurt. I do see a problem and a big hole with the company management. I never like to write bad reviews or complaints. The check in process in Vancouver was terrible as the agents are not familiar with the customer service standard at all. The boarding process was slow and delayed. The management were very unprofessional, giving me a negative attitude. The (staff) standard was low class. I would use the word cheap. A company training their ground staff to use cheap flirty tactics on valuable passengers. To me Lufthansa needs a change in managing and training their staff. However the inflight service was relatively ok and the seats were comfortable. The inflight service was ok as the fight attendants had done a good enough job to comfort their passengers. The staff in Frankfurt were ok but not overly impressive. The flight coming back was delayed but it was ok. Overall, I rate the service in Vancouver was unacceptable as it would be 2/10 but inflight was ok 8/10 and Frankfurt staff was 7/10. Good enough for my trip back. Lufthansa really need to upgrade and improve their service in Vancouver. I will be travelling a lot for my new career and I will be an important part of the world’s success going forward. I will be an important person to the country. I do not see Lufthansa as a company who tries to improve but rather a company who tries to hide from the truth. As the economy looms, I am very sure you CEO loves your stocks to grow. This management style does not work in the new generation. The style needs a change and the future of the company is in the hands of your employees."
✅ Trip Verified ,,Solo Leisure,Economy Class,Houston to Frankfurt,Jun-22,1,4,1,1,,3,3,no,4,"  Seats were way to narrow and little leg room. Had to keep arms crossed to give others room. Very uncomfortable. Entertainment system to play movies didn't work well, slow response and poor navigation. Food was pasta with tomato sauce. Crew was nice but will never fly Lufthansa again."
✅ Trip Verified ,,Solo Leisure,Economy Class,Brussels to Singapore via Frankfurt,Aug-22,2,2,1,,,1,1,no,1,"  I am a star alliance gold member. LH1019 BRU-FRA 29/07/22 was delayed by 2h45m. I knew I had, as a result, already missed LH778 FRA-SIN 29/07/22 before boarding LH1019 BRU-FRA 29/07/22. I raised this query with the staff at the gate and asked if I could be rebooked from Brussels. I was told that I had to take the flight to FRA and get rebooked there after arrival. Once aboard the airplane the captain informed us over the intercom that the plane had been running late all day. We arrived in FRA at 2330 where I was told that rebooking was not possible at that time and that I had to return to the airport the following day to get rebooked. I was given a taxi and hotel voucher. The hotel room stunk like cigarettes, cigarette burns were apparent, the bed was uncomfortable and the street noisy. I returned to the airport the following day at 0900 and waited in line for 5 hours to get to the rebooking counter where I was rebooked and checked-in on the similar route with flights departing the next day At that point my new expected time of arrival at final destination was 1505 on 02/08/22 – delay 50 hours I was not given access to my luggage as these were already checked-in. I was again given a taxi and hotel voucher. The room was unfortunately not air-conditioned. The heat made the night rather short. Hygiene amenities were not available. On 31/07/22 at 1530 I presented myself with my boarding pass to the check-in counter at FRA. I was told that the boarding pass was not valid anymore and that my entire booking had been canceled. The staff at the check in counter were unable to help me and I was again told to line up at the rebooking counter. There, after another 4-5 hour wait, I was told that my entire booking had been canceled by the computer system because it had considered me missing my initial connecting flights as a “no show”. In addition to canceling my booking the computer system had also surrendered the seats I had been rebooked on and these were now unavailable. I was then told that Lufthansa was unable to rebook me on a Lufthansa or star alliance flight for a period of at least 4-5 days. After further long delays I was offered a booking through Emirates and was told that that journey was my only option to get back to New Zealand. At this point, my new expected time of arrival at final destination was 1505 on 03/08/22 – delay 74 hours I was again given a taxi and hotel voucher and spent the night at tyet another hotel where air-conditioning was available but unfortunately broken! This made for another uncomfortable night. Again hygiene amenities were not available. On the 01/08/22 at 1300 I presented myself to the check in counter at FRA only to be told that my ticket was on stand-by. I was eventually provided a boarding pass for the flights but was made to pay 246 euro to have the extra piece of luggage, which was included in the initial Lufthansa ticket, carried to my final destination. Generally I thought the airline representatives were not taking responsibility for the inconvenience that I experienced as a result of the disorganisation. I barely got an apology and worse was made to feel that I was inconveniencing them. Furthermore I was plainly lied to multiple times. Avoid at all cost."
✅ Trip Verified ,,Couple Leisure,Economy Class,Toulouse to Newark via Frankfurt,Jun-22,1,1,,,,1,1,no,2,"  Horrible customer service, no representative in the France airports, 3 hours on the phone, no one answer the questions, and after missing a flight no one respond."
✅ Trip Verified ,,Business,Business Class,Frankfurt to Palma,Jul-22,2,3,1,1,3,2,3,no,4," The worst experience this year. Lufthansa like many European airlines is declining in both services and facilities. Frankfurt airport is dirty and is not serviced most of the time, smells and is dirty as if there are no staff to clean it. The planes are never on a gate and always through buses and always a 10 min bus ride. I have been flying Lufthansa for the past 17 years and I wouldn’t use this airline or this airport unless I really have to."
✅ Trip Verified ,a320,Business,Business Class,Manchester to Brussels via Frankfurt,Jul-22,2,2,1,,,1,1,no,1,"  In the middle of the night 1.30am Lufthansa changed my original booked flight on Austrian one day later, no hotel accommodation offered, no possibility to connect with the airline. The number gave availability on weekdays so I had to pay for the airport hotel. The flight to Frankfurt caught quite some delay, despite plane stay overnight and everybody did notice the team on board did arrive quite late. Difficult boarding caused by a lot of oversized cabin luggage. In Frankfurt the plane was not on a gate, we had to wait at least 10 minutes for the stairs and the busses. Drawing attention to the connection FA told me there are enough flights to Brussels. It was a Sunday however so we missed the connection - the plane was not on the gate and already announced with at least 30min delay - a polite request to organise an extra bus was denied very abruptly. Then they sent us to 3 different counters even one outside the secured area to rebook flights - situation at Frankfurt airport was a disaster. Separate lines for business are not existing anymore. I had to fly to Berlin and from there to Brussels and on that flight I was downgraded ""no availability"" for business. Later it seems there were 2 free seats - I was dropped in the rear area of the economy. I will not dwell on the various services on board however it seems FA must serve drinks as little as possible. At Brussels my 2 suitcases were missing, one found 5 days later, the other sent from Berlin 36 days later. Lufthansa is not responding."
✅ Trip Verified ,Airbus A350-900,Family Leisure,Economy Class,Frankfurt TO Washington,Jul-22,4,3,3,4,,1,2,no,3,"  The first problem our family of 4 had with our Lufthansa flights from Venice to Washington via Frankfurt occurred when we tried to check-in online the day before our scheduled flight. Unbeknownst to us, two of our family members had been bumped and were listed under an alternate confirmation number. Therefore, we had to rebook for the day after we should have flown. We are at a loss why they cancelled two of our seats in our original itinerary and why we were not informed. Things got worse as the plane was delayed leaving Venice the next day and we had to run to our connecting flight in Frankfurt. We would have been too late but luckily the flight from Frankfurt had been delayed an hour so we made it. However, our baggage was left behind. Not sure just how many people were in the same boat but when the luggage carousel stopped at Dulles, there were at least 30-40 people still waiting for their bags. Here we are, 18 days later, and only one of our four suitcases has made it home. Who knows where the rest are because Lufthansa doesn’t – despite there being luggage tags on each case. Customer support has been less than helpful during this time and we are still waiting for the many invoices we have submitted for replacement items to be paid. We understand staffing resource limitations is probably contributing to lack of response regarding our baggage, but when Lufthansa asks you if you’d like to check in your carry-on bags for free, say no!"
Not Verified ,,Family Leisure,Economy Class,Boston to Cairo via Frankfurt,Jun-22,,,,,,1,3,no,2,"  I had to change my flight due to Visa issues. I tried to call the customer service in US and the wait time was more than 30 min. I used there Customer service app and requested call back and every time I talk to the agents I had to start over explaining my situation and every agent has a different suggestion. They will not help you to solve your situation and all the answers are vague. At the end I asked for refund which is my right, they can’t give me the refund amount."
